0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
61.2,26.989,26.989,26.989,48.668,48.668,48.668,966.85,966.85,91.495,69.621,69.621,69.621,69.621,40.814,40.814,40.814,113.65,75.788,113.65,75.788,113.65,44.885,113.65,44.885,113.65,44.885,113.65,44.885,113.65,85.494,127.98,85.494,113.65,87.936,127.98,87.936,127.98,87.936,127.98,19.991,541.84,541.84,541.84,541.84,421.36,421.36,421.36
64.8,29.145,29.145,29.145,54.035,54.035,54.035,966.28,966.28,67.485,67.485,67.485,67.485,57.842,57.842,57.842,67.485,122.56,58.417,122.56,58.417,89.638,58.417,89.638,58.417,89.638,58.417,128,58.417,128,58.417,211.52,80.267,211.52,80.267,80.735,80.267,80.735,80.267,80.735,80.267,435.18,435.18,760.99,760.99,415.72,415.72,415.72
68.41,43.408,43.408,43.408,43.408,43.408,43.408,999.48,999.48,59.091,59.091,59.091,59.091,59.091,59.091,59.091,59.091,132.55,69.88,132.55,69.88,108.76,69.88,108.76,52.685,108.76,52.685,108.76,52.685,108.76,52.685,325.68,90.286,138.52,90.286,138.52,90.286,54.643,90.286,54.643,19.991,438.22,438.22,769.7,769.7,458.93,458.93,458.93
72,28.585,28.585,28.585,54.697,54.697,109.11,933.58,933.58,98.51,74.361,74.361,74.361,74.361,74.361,20.006,20.006,146.45,76.272,146.45,76.272,146.45,50.1,146.45,50.1,146.45,50.1,146.45,50.1,146.45,91.394,308.41,91.394,308.41,81.785,271.09,81.785,271.09,81.785,271.09,19.989,146.45,308.41,933.58,933.58,271.09,271.09,271.09
75.61,39.938,39.938,39.938,39.938,39.938,91.476,1071.3,972.84,91.476,76.659,76.659,76.659,76.659,76.659,20.011,20.011,115.85,64.514,115.85,64.514,115.85,64.514,115.85,64.514,115.85,75.043,115.85,75.043,115.85,75.043,226.05,71.228,226.05,75.043,89.573,75.043,89.573,71.228,89.573,71.228,450.35,450.35,741.75,741.75,427.14,427.14,427.14
79.21,40.965,40.965,40.965,40.965,40.965,40.965,1082.9,1082.9,79.767,79.767,79.767,79.767,79.767,79.767,20,20,120.82,80.831,120.82,80.831,120.82,53.637,120.82,53.637,120.82,53.637,120.82,65.971,120.82,65.971,154.69,123.63,120.82,100.63,154.69,100.63,154.69,75.114,154.69,19.991,580.84,580.84,580.84,580.84,456.17,456.17,456.17
82.8,19.994,19.994,56.754,56.754,56.754,56.754,1066.6,1058.4,76.249,76.249,76.249,76.249,76.249,76.249,19.999,19.999,139.93,76.168,139.93,76.168,141.59,76.168,141.59,60.263,141.59,60.263,141.59,60.263,141.59,60.263,141.59,101.03,141.59,101.03,101.18,101.03,101.18,101.03,101.18,19.992,571.92,571.92,571.92,571.92,449.57,449.57,449.57
86.41,41.089,41.089,41.089,41.089,41.089,41.089,1109.1,1109.1,63.027,63.027,63.027,63.027,63.027,63.027,63.027,63.027,136.45,84.391,136.45,84.391,113.77,54.624,113.77,54.624,113.77,54.624,113.77,54.624,113.77,103.39,133.32,103.39,113.77,103.39,133.32,95.988,133.32,95.988,133.32,19.992,449.92,449.92,786.41,786.41,537.19,393.89,393.89
90,46.627,46.627,46.627,46.627,46.627,46.627,1057.4,1077.4,76.018,76.018,76.018,76.018,76.018,76.018,19.998,19.998,137.97,69.027,137.97,69.027,113.88,69.027,113.88,69.027,113.88,69.027,113.88,69.027,113.88,69.027,222.02,83.494,222.02,83.494,94.003,83.494,94.003,83.494,94.003,83.494,355.68,509.87,741.83,741.83,470.83,470.83,470.83
93.61,29.991,29.991,29.991,78.298,78.298,78.298,1092.4,1092.4,75.472,75.472,75.472,75.472,75.472,75.472,19.985,19.985,139.47,85.929,139.47,85.929,102.87,74.566,102.87,74.566,102.87,74.566,197.29,74.566,197.29,74.566,197.29,74.566,107.79,74.566,107.79,65.333,107.79,65.333,107.79,65.333,437.08,437.08,686.06,686.06,466.42,466.42,466.42
97.2,30.862,30.862,30.862,80.052,80.052,80.052,1074.1,1074.1,81.537,81.537,81.537,36.253,81.537,81.537,36.253,36.253,141.92,85.437,141.92,85.437,120.96,76.312,120.96,76.312,120.96,76.312,120.96,76.312,120.96,76.312,227.71,76.312,120.96,76.312,227.71,66.348,62.799,66.348,62.799,66.348,424.59,424.59,676.16,676.16,459.47,459.47,459.47
100.81,29.06,29.06,29.06,82.473,82.473,82.473,1064.7,1064.7,62.104,62.104,62.104,62.104,62.104,62.104,62.104,62.104,136.67,69.221,136.67,69.221,89.578,69.221,104.47,69.221,104.47,69.221,128.43,69.221,128.43,69.221,187.04,88.851,187.04,88.851,187.04,88.851,64.265,88.851,64.265,88.851,412.35,412.35,660.34,660.34,442.85,442.85,442.85
104.4,41.062,41.062,41.062,41.062,41.062,82.367,867.46,867.46,82.367,59.937,59.937,59.937,59.937,59.937,59.937,59.937,133.61,91.34,133.61,91.34,116.64,58.781,116.64,58.781,116.64,58.781,116.64,58.781,116.64,103.95,247.69,103.95,116.64,103.95,247.69,98.247,62.494,98.247,62.494,19.992,412.97,412.97,867.46,867.46,463.99,463.99,463.99
108.01,20.006,19.981,50.053,58.624,58.624,58.624,1005,1005,84.102,84.102,84.102,84.102,52.659,52.659,52.659,52.659,122.17,70.689,122.17,70.689,122.17,70.689,122.17,70.689,122.17,70.689,122.17,70.689,236.53,70.689,236.53,85.599,121.25,85.599,121.25,85.599,121.25,85.599,121.25,85.599,452.15,452.15,767.91,767.91,490.5,490.5,490.5
111.61,40.417,40.417,40.417,40.417,40.417,113.38,1050.2,1129,113.38,67.004,67.004,67.004,67.004,67.004,67.004,67.004,152.26,92.34,152.26,92.34,118.89,83.533,118.89,83.533,118.89,83.533,118.89,83.533,118.89,83.533,210.19,83.533,210.19,83.533,210.19,83.533,68.214,51.512,68.214,51.512,444.58,444.58,741.24,741.24,465.35,465.35,465.35
