0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
61.2,19.992,19.98,41.17,51.787,36.468,58.147,1000.959,932.733,91.495,69.478,71.996,61.513,75.38,82.429,19.987,20.014,72.274,43.112,182.484,107.95,83.793,45.504,103.577,42.001,81.846,45.283,129.951,46.779,109.806,65.546,250.799,105.934,144.544,92.367,147.549,103.212,93.878,67.797,19.992,19.991,331.142,483.137,678.379,674.683,493.041,419.041,352.004
64.8,19.998,19.982,47.493,57.64,52.218,52.259,1004.896,927.671,106.976,79.552,70.628,57.63,76.444,78.672,19.986,20.084,73.85,43.695,171.234,110.491,80.703,46.833,105.182,43.683,83.037,46.352,140.811,50.506,115.192,66.522,295.491,108.315,127.546,101.224,130.259,107.073,91.954,65.161,19.992,19.991,340.158,530.203,803.961,718.013,497.601,408.162,341.407
68.41,19.998,19.995,41.472,52.938,51.525,74.502,995.384,1003.584,80.817,73.576,68.465,59.947,66.055,83.815,19.984,20.078,75.929,43.265,188.83,116.483,77.154,50.124,107.879,43.968,88.417,48.879,144.432,52.196,126.073,65.609,325.682,103.706,115.537,93.589,161.707,99.755,88.379,64.093,19.991,19.991,354.138,522.301,811.102,728.294,544.772,452.451,379.555
72,20.001,19.985,45.768,58.982,50.412,109.112,1189.473,1054.696,98.51,76.312,74.013,64.039,79.121,78.322,19.985,20.027,77.858,42.579,200.155,109.773,74.855,50.587,111.496,47.411,89.911,51.046,145.819,51.4,114.714,71.437,276.223,112.497,137.817,91.291,167.261,87.328,86.501,65.068,19.991,19.989,356.837,509.52,776.3,713.55,531.702,447.907,372.147
75.61,20.002,19.984,46.596,57.327,55.779,39.587,1071.322,972.842,143.364,85.558,72.759,67.97,86.66,70.35,19.981,20.04,78.487,45.519,171.999,111.792,80.192,52.218,111.097,48.826,91.433,52.148,149.214,52.873,127.845,68.427,308.203,123.695,142.575,95.402,148.504,105.919,100.664,69.664,19.991,19.991,359.149,541.561,767.333,716.166,509.416,423.307,348.706
79.21,20.001,19.979,45.481,58.222,56.894,45.018,1152.782,1013.071,96.311,84.628,73.257,69.007,78.123,77.332,19.981,20.02,77.745,50.528,189.393,111.011,81.371,54.199,115.516,50.033,93.436,56.502,147.03,55.214,118.19,75.444,344.219,123.633,137.063,99.031,153.128,102.237,100.124,75.114,19.991,19.991,354.838,504.368,727.153,736.993,541.101,450.308,377.088
82.8,20.01,19.979,48.841,55.561,57.403,65.101,1066.6,1058.438,81.976,80.691,75.784,66.51,73.435,79.121,19.988,20.011,79.677,54.249,199.766,117.817,84.079,56.907,116.451,50.334,94.309,53.607,136.654,57.858,124.807,76.76,276.102,128.234,158.287,94.048,182.616,100.996,102.606,80.399,19.991,19.992,349.612,506.694,744.936,686.447,523.528,447.3,377.88
86.41,20.005,19.959,46.71,57.073,57.366,42.751,1160.974,1057.17,82.596,83.137,74.517,69.096,79.707,76.424,19.991,20.006,82.274,54.111,188.678,114.388,86.252,54.529,113.697,50.781,90.885,56.81,140.309,56.414,109.796,76.506,260.954,130.297,139.531,104.169,154.784,112.993,99.286,79.169,19.991,19.992,353.77,546.075,808.641,764.184,537.187,433.76,354.029
90,19.999,19.985,51.127,56.955,57.18,74.609,1057.44,1077.351,72.908,86.749,77.793,68.643,76.036,73.986,19.983,20.012,83.927,54.858,191.248,123.448,89.246,55.568,118.381,50.68,96.359,58.162,140.831,57.259,124.331,80.723,297.741,111.668,145.192,109.503,157.422,105.166,104.523,72.753,19.99,19.992,355.683,509.872,759.781,723.874,550.56,465.572,396.345
93.61,20.016,20.011,49.945,55.952,54.345,124.596,1042.583,1142.256,74.903,80.624,75.982,64.453,80.328,76.54,19.984,19.986,82.415,54.388,196.437,117.43,89.386,56.335,122.447,51.654,95.563,56.912,150.577,58.005,127.002,76.982,314.876,117.148,142.412,101.808,161.966,102.399,106.707,77.799,19.989,19.993,357.848,516.306,639.389,732.735,545.224,462.365,391.666
97.2,20.055,20.009,52.523,55.661,53.152,131.342,1047.639,1100.564,77.054,73.024,80.758,61.859,85.463,90.306,19.988,19.988,83.601,55.392,198.709,115.444,88.716,56.964,112.32,50.845,96.585,57.389,141.769,58.492,124.123,76.339,275.709,127.165,159.309,105.855,175.964,101.43,105.541,79.257,19.989,19.992,348.457,500.731,626.419,725.904,539.727,454.613,384.079
100.81,20.037,19.984,47.159,54.401,58.913,134.144,1137.059,992.383,67.655,80.489,76.636,66.64,82.167,83.172,19.986,20.03,83.785,57.074,189.555,119.025,89.578,55.784,113.296,53.391,95.638,59.163,144.929,59.046,111.939,80.28,250.815,120.754,151.248,110.034,160.284,115.006,109.222,78.912,19.989,19.992,332.894,491.808,596.855,723.819,522.123,438.847,367.571
104.4,19.987,19.99,51.313,57.728,56.262,58.893,1000.194,999.802,106.246,81.005,75.947,65.023,78.354,78.332,19.984,20.05,81.899,58.317,183.055,124.053,88.847,59.478,117.15,53.916,95.759,61.092,134.417,60.69,119.98,80.723,325.834,123.467,142.832,108.625,165.542,114.619,104.997,82.028,19.989,19.992,340.74,485.2,720.16,749.682,550.615,458.373,382.986
108.01,20.006,19.981,50.053,54.538,53.769,67.566,990.354,1019.664,105.904,86.58,72.356,68.997,82.369,87.044,19.986,20.039,83.84,59.386,192.815,121.306,87.181,59.591,126.41,53.489,98.56,59.831,143.237,60.184,128.17,79.414,339.475,112.295,169.175,105.683,189.025,109.475,107.385,81.559,19.989,19.991,353.811,550.489,763.124,772.695,573.721,489.336,408.428
111.61,20.016,19.982,48.399,54.158,59.532,140.788,1050.157,1128.954,85.866,77.798,87.908,72.459,99.18,91.582,19.985,20.048,84.315,61.377,218.987,123.281,90.128,60.641,124.964,55.55,100.403,60.883,151.621,60.125,122.253,77.863,264.682,124.133,172.325,112.463,191.04,118.025,117.103,80.087,19.99,19.991,370.735,518.424,761.998,720.478,538.39,465.543,392.13
115.21,20.034,19.986,52.398,53.309,59.386,52.668,1118.925,1055.874,75.147,77.694,89.924,72.291,88.115,93.627,19.984,20.043,86.605,57.05,183.802,121.808,91.744,61.749,113.535,52.514,101.844,61.095,150.448,61.393,120.27,82.799,298.725,121.304,155.007,118.914,163.918,126.211,117.909,81.809,19.99,19.992,354.524,534.225,763.48,700.45,497.883,420.773,346.936
