0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
36.00 ,20.017 ,19.978 ,32.106 ,47.227 ,42.042 ,77.819 ,982.987 ,1010.934 ,70.796 ,79.638 ,64.799 ,51.517 ,69.159 ,71.514 ,20.747 ,19.988 ,42.958 ,20.253 ,156.372 ,92.434 ,61.339 ,31.168 ,93.891 ,29.665 ,66.710 ,34.604 ,116.559 ,38.670 ,90.678 ,50.408 ,252.699 ,102.803 ,111.727 ,74.111 ,133.606 ,66.455 ,82.117 ,47.962 ,19.994 ,19.998 ,306.125 ,468.340 ,693.152 ,682.409 ,480.155 ,396.821 ,325.975 
39.61 ,19.986 ,19.977 ,39.165 ,52.823 ,43.782 ,44.610 ,1003.924 ,937.563 ,61.605 ,77.078 ,63.057 ,57.212 ,62.497 ,72.323 ,20.590 ,19.981 ,52.354 ,23.076 ,165.092 ,96.025 ,58.176 ,32.356 ,98.326 ,31.464 ,67.546 ,37.639 ,120.365 ,41.724 ,100.132 ,53.775 ,235.796 ,102.182 ,100.305 ,76.747 ,115.878 ,63.023 ,88.810 ,48.992 ,19.993 ,19.998 ,324.177 ,479.008 ,740.080 ,705.121 ,481.750 ,394.994 ,322.348 
43.20 ,19.998 ,19.980 ,36.964 ,46.297 ,44.408 ,55.584 ,978.069 ,933.319 ,96.395 ,68.109 ,64.295 ,56.961 ,66.875 ,70.304 ,20.023 ,19.966 ,54.158 ,27.508 ,170.265 ,102.745 ,59.365 ,39.610 ,100.996 ,35.519 ,68.824 ,40.964 ,119.867 ,41.925 ,99.427 ,57.295 ,260.090 ,96.969 ,101.287 ,74.247 ,129.308 ,70.519 ,85.625 ,52.801 ,19.994 ,19.996 ,334.102 ,525.418 ,786.841 ,725.404 ,539.276 ,441.368 ,363.916 
46.81 ,20.022 ,19.978 ,37.400 ,51.673 ,42.221 ,61.228 ,928.878 ,1000.754 ,139.514 ,75.399 ,65.694 ,58.195 ,73.512 ,71.436 ,20.195 ,19.979 ,59.204 ,34.609 ,178.336 ,100.136 ,63.263 ,37.942 ,98.772 ,36.845 ,74.790 ,39.962 ,128.847 ,43.577 ,104.663 ,59.151 ,231.157 ,97.288 ,114.982 ,72.215 ,136.430 ,76.038 ,84.557 ,51.019 ,19.994 ,19.993 ,346.418 ,488.926 ,686.518 ,713.253 ,520.689 ,439.850 ,375.317 
50.40 ,20.001 ,19.979 ,40.528 ,49.188 ,49.220 ,101.732 ,977.199 ,1064.936 ,111.051 ,62.621 ,68.115 ,65.956 ,75.357 ,74.082 ,19.999 ,19.996 ,64.029 ,33.719 ,171.526 ,107.096 ,66.506 ,41.181 ,99.050 ,38.346 ,74.018 ,40.038 ,129.484 ,41.573 ,105.431 ,57.667 ,259.457 ,107.796 ,116.276 ,86.380 ,129.688 ,87.463 ,80.519 ,53.752 ,19.993 ,19.991 ,333.868 ,526.530 ,780.132 ,710.503 ,499.850 ,410.042 ,332.320 
54.01 ,19.984 ,19.979 ,38.565 ,51.199 ,49.399 ,84.729 ,899.579 ,992.531 ,94.910 ,72.001 ,64.963 ,68.891 ,74.865 ,76.100 ,20.036 ,19.998 ,68.831 ,38.055 ,183.540 ,111.125 ,70.706 ,43.398 ,96.317 ,40.086 ,80.055 ,42.838 ,139.339 ,41.642 ,105.952 ,60.909 ,214.475 ,100.215 ,108.161 ,84.180 ,139.685 ,87.528 ,95.424 ,55.408 ,19.993 ,19.991 ,336.230 ,491.059 ,656.097 ,725.121 ,523.650 ,430.862 ,360.101 
57.60 ,19.982 ,19.980 ,40.424 ,59.578 ,52.552 ,75.346 ,1064.565 ,953.015 ,99.786 ,84.219 ,69.721 ,63.265 ,68.216 ,72.057 ,20.014 ,19.989 ,66.089 ,38.967 ,183.688 ,110.225 ,72.536 ,44.950 ,105.018 ,41.892 ,81.177 ,42.620 ,129.790 ,44.620 ,102.270 ,67.169 ,307.698 ,100.428 ,143.508 ,81.807 ,161.307 ,83.617 ,94.703 ,68.169 ,19.993 ,19.991 ,335.585 ,492.269 ,758.829 ,706.938 ,532.401 ,455.741 ,384.808 
61.20 ,19.992 ,19.980 ,41.170 ,51.787 ,36.468 ,58.147 ,1000.959 ,932.733 ,91.495 ,69.478 ,71.996 ,61.513 ,75.380 ,82.429 ,19.987 ,20.014 ,72.274 ,43.112 ,182.484 ,107.950 ,83.793 ,45.504 ,103.577 ,42.001 ,81.846 ,45.283 ,129.951 ,46.779 ,109.806 ,65.546 ,250.799 ,105.934 ,144.544 ,92.367 ,147.549 ,103.212 ,93.878 ,67.797 ,19.992 ,19.991 ,331.142 ,483.137 ,678.379 ,674.683 ,493.041 ,419.041 ,352.004 
64.80 ,19.998 ,19.982 ,47.493 ,57.640 ,52.218 ,52.259 ,1004.896 ,927.671 ,106.976 ,79.552 ,70.628 ,57.630 ,76.444 ,78.672 ,19.986 ,20.084 ,73.850 ,43.695 ,171.234 ,110.491 ,80.703 ,46.833 ,105.182 ,43.683 ,83.037 ,46.352 ,140.811 ,50.506 ,115.192 ,66.522 ,295.491 ,108.315 ,127.546 ,101.224 ,130.259 ,107.073 ,91.954 ,65.161 ,19.992 ,19.991 ,340.158 ,530.203 ,803.961 ,718.013 ,497.601 ,408.162 ,341.407 
68.41 ,19.998 ,19.995 ,41.472 ,52.938 ,51.525 ,74.502 ,995.384 ,1003.584 ,80.817 ,73.576 ,68.465 ,59.947 ,66.055 ,83.815 ,19.984 ,20.078 ,75.929 ,43.265 ,188.830 ,116.483 ,77.154 ,50.124 ,107.879 ,43.968 ,88.417 ,48.879 ,144.432 ,52.196 ,126.073 ,65.609 ,325.682 ,103.706 ,115.537 ,93.589 ,161.707 ,99.755 ,88.379 ,64.093 ,19.991 ,19.991 ,354.138 ,522.301 ,811.102 ,728.294 ,544.772 ,452.451 ,379.555 
