0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
108.01,20.004 ,20.005 ,19.996,19.997,20.042,20.161,24.715,24.037,20.948,20.110,20.048,20.070,20.124,20.022,20.004,20.004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111.61,20.004 ,19.999 ,19.995,19.996,20.026,20.175,24.707,23.361,20.545,20.331,20.335,20.062,20.128,20.029,20.004,20.004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115.21,20.004 ,20.000 ,19.996,19.999,20.042,21.450,25.652,21.659,20.666,20.387,20.235,20.036,20.034,20.028,20.004,20.004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118.81,20.005 ,20.006 ,19.998,19.997,20.054,20.998,26.771,23.682,20.518,20.255,20.121,20.023,20.040,20.022,20.004,20.004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122.4,20.006 ,20.002 ,19.998,19.994,20.040,20.716,22.300,21.803,20.797,20.125,20.078,20.026,20.020,20.253,20.003,20.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,20.004 ,20.002 ,20.037,19.994,20.076,20.326,22.296,22.506,20.810,20.198,20.045,20.080,20.054,20.357,20.000,19.997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129.61,20.004 ,20.004 ,20.009,19.997,20.068,21.287,23.687,24.578,20.553,20.226,20.130,20.054,20.022,20.201,20.003,19.999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133.21,20.003 ,20.003 ,20.005,19.997,20.060,20.887,25.406,24.187,20.597,20.200,20.384,20.028,20.010,20.094,20.005,20.004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136.8,20.003 ,20.003 ,19.997,19.999,20.094,20.487,26.197,25.555,21.027,20.131,20.612,20.015,20.039,20.089,20.004,20.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140.41,20.003 ,20.003 ,19.994,19.996,20.077,20.470,22.929,25.585,20.742,20.121,20.066,19.999,20.035,20.064,20.005,20.004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144.01,20.003 ,20.000 ,19.998,19.996,20.077,20.141,25.966,23.778,20.677,20.150,20.058,20.002,20.007,20.062,20.005,20.004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.61,20.000 ,20.002 ,19.998,19.999,20.134,20.430,25.681,24.400,20.713,20.129,20.083,20.007,20.002,20.039,20.004,20.004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151.21,19.990 ,20.003 ,19.998,20.019,20.074,21.407,26.692,23.275,20.381,20.258,20.075,20.029,20.012,20.044,20.002,20.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154.81,19.998 ,19.998 ,19.997,20.004,20.062,21.633,24.533,27.019,20.819,20.359,20.054,20.124,20.012,20.088,20.002,20.004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
