17,19,41,0,0,0,0,0,0
17,19,41,0,0,0,0,0,0
4,41,0,0,0,0,0,0,0
3,5,41,0,0,0,0,0,0
4,6,42,0,0,0,0,0,0
5,7,42,0,0,0,0,0,0
6,8,43,0,0,0,0,0,0
7,9,43,0,0,0,0,0,0
8,10,44,0,0,0,0,0,0
9,11,44,0,0,0,0,0,0
10,12,45,0,0,0,0,0,0
11,13,45,0,0,0,0,0,0
12,14,45,46,0,0,0,0,0
13,45,46,0,0,0,0,0,0
46,47,0,0,0,0,0,0,0
46,47,0,0,0,0,0,0,0
1,2,18,19,0,0,0,0,0
17,0,0,0,0,0,0,0,0
1,2,17,20,21,22,24,26,41
19,21,22,23,25,0,0,0,0
19,20,22,23,24,26,0,0,0
19,20,21,23,24,25,0,0,0
20,21,22,24,25,26,41,42,0
19,21,22,23,25,26,0,0,0
20,22,23,24,26,41,42,0,0
19,21,23,24,25,0,0,0,0
28,29,30,32,42,43,0,0,0
27,29,30,31,0,0,0,0,0
27,28,30,31,32,0,0,0,0
27,28,29,31,32,0,0,0,0
28,29,30,32,43,44,0,0,0
27,29,30,31,0,0,0,0,0
34,35,36,38,43,44,0,0,0
33,35,36,37,0,0,0,0,0
33,34,36,37,38,0,0,0,0
33,34,35,37,38,0,0,0,0
34,35,36,38,44,45,0,0,0
33,35,36,37,0,0,0,0,0
40,45,46,0,0,0,0,0,0
39,0,0,0,0,0,0,0,0
1,2,3,4,19,23,25,42,0
5,6,23,25,27,41,43,0,0
7,8,27,31,33,42,44,0,0
9,10,31,33,37,43,45,0,0
11,12,13,14,37,39,44,46,0
13,14,15,16,39,45,47,0,0
15,16,46,0,0,0,0,0,0
